AUDI90031, Speech Disorders Across the Lifespan
POLS30001, Parliamentary Internship
ENST90033, Climate Change Mitigation
FLTV90049, Screen Making 1
LAWS70266, Tax Litigation
FLTV90046, Screen Story 2
ENST40008, Ecosystem & Forest Science Research Pt2
LAWS70151, Law and Global Health
MUSI20087, MCM Indonesian Gamelan Ensemble 1
MUSI30282, Advanced Rhythmic Studies
CHEN90013, Process Engineering
POLS90026, International Political Economy
LAWS70239, Payment Matters in Construction Projects
PHTY90030, Clinical Paediatric Physiotherapy
VETS90150, Wildlife, Aquaculture, Exotics and Pigs
REHB90001, Foundations of Rehabilitation
PSYC90119, Research Project (Psych)
BMSC90021, Laboratory Models of Human Disease
MGMT10003, Organisation and Management
LAWS50084, Construction Law
LAWS90027, Precontractual Liability
RURA90008, Utilising Knowledge in Aboriginal Health
BIOL90019, BioSciences Research Project Part 4
ABPL90064, Urban Sustainability and Climate Change
